username,languageName,problemsSolved
ThunderXGod,C++,814
ThunderXGod,MySQL,16
ThunderXGod,JavaScript,1
pranjalsingh1702,C++,342
pranjalsingh1702,MySQL,18
nicholasfoocl,C++,2232
nicholasfoocl,Java,5
nicholasfoocl,MySQL,34
nicholasfoocl,JavaScript,22
nicholasfoocl,Python3,9
nicholasfoocl,TypeScript,9
annaroh86,Python3,4
Sanath_Kulla,C++,598
Sanath_Kulla,Java,29
Sanath_Kulla,Python,1
Sanath_Kulla,MySQL,9
Sanath_Kulla,JavaScript,3
timmyfeng,C++,34
timmyfeng,MySQL,5
timmyfeng,Python3,52
Ankit_132,C++,326
Ankit_132,Java,1
Ankit_132,JavaScript,3
santhosh_vardhan,C++,53
santhosh_vardhan,Java,10
xlx2,Python3,907
charizard21,C++,261
charizard21,Python3,19
hongyili,C++,3
hongyili,MySQL,1
hongyili,Bash,1
hongyili,Python3,1816
hongyili,MS SQL Server,44
benmirt,C++,75
benmirt,Python,5
benmirt,Python3,14
user5858Fe,C#,1
user5858Fe,Python3,1
sjoin,Python3,482
yuhsiangliu,C++,201
yuhsiangliu,Python3,1000
tifv,C++,7
tifv,Java,1
tifv,C,2
tifv,C#,2
tifv,JavaScript,1
tifv,Ruby,2
tifv,Swift,1
tifv,Go,14
tifv,Python3,85
tifv,Scala,3
tifv,Kotlin,1
tifv,Rust,497
tifv,PHP,3
tifv,TypeScript,34
tifv,Racket,23
tifv,Erlang,2
tifv,Elixir,2
tifv,Dart,4
tifv,Pandas,1
tifv,PostgreSQL,6
WJTung,C++,1208
WJTung,Java,16
WJTung,Python,5
WJTung,MySQL,11
WJTung,C,5
WJTung,Ruby,3
WJTung,Go,56
WJTung,Python3,3
WJTung,Kotlin,3
yaketake08,C++,5
yaketake08,Python3,70
lol0lol,C++,1726
lol0lol,Java,88
lol0lol,Python,6
lol0lol,MySQL,21
lol0lol,JavaScript,10
lol0lol,Python3,1326
Remineva,C++,74
Remineva,MySQL,66
Remineva,Python3,2129
Remineva,Pandas,48
oskar1293,C++,35
oskar1293,C,1
oskar1293,Python3,28
bramar2,C++,1246
bramar2,Java,224
bramar2,Python,11
bramar2,MySQL,1
bramar2,C#,1
bramar2,JavaScript,25
bramar2,Python3,31
nosrpku,C++,244
nosrpku,Python,13
nosrpku,MySQL,2
nosrpku,C,1
nosrpku,Python3,184
mojiexiong,Java,94
tfliao,C++,688
tfliao,Python,1
tfliao,MySQL,2
tfliao,C,2
tfliao,Python3,36
gct,Swift,2
wataru,C++,1526
wataru,Python3,1
_merlin_,C++,3
_merlin_,Java,889
_merlin_,Python3,1
_merlin_,Oracle,1
PJ_ID_447,C++,1650
PJ_ID_447,Java,25
PJ_ID_447,MySQL,39
PJ_ID_447,JavaScript,9
PJ_ID_447,Python3,17
PJ_ID_447,Pandas,5
7Yd1AvxXMh,C++,2
7Yd1AvxXMh,Go,3
7Yd1AvxXMh,Python3,25
is2ac,C++,10
is2ac,Java,506
is2ac,Python,8
is2ac,MySQL,3
is2ac,Ruby,2
is2ac,Python3,15
linyz1880,Java,15
linyz1880,JavaScript,10
linyz1880,Python3,10
pmaniar,C++,82
pmaniar,Python,2
AnujJadhav,C++,1404
AnujJadhav,Java,4
AnujJadhav,Python,1
AnujJadhav,MySQL,37
AnujJadhav,JavaScript,1
AnujJadhav,Python3,2
zhantons,C++,16
zhantons,Java,452
zhantons,MySQL,3
zhantons,JavaScript,3
jt3698,C++,1232
jt3698,Python,2
jt3698,MySQL,1
jt3698,Bash,1
jt3698,Python3,33
markxyb,C++,29
markxyb,Java,572
markxyb,Python,214
markxyb,MySQL,13
markxyb,Bash,2
markxyb,Python3,3
markxyb,Pandas,1
Silken,C++,1275
Silken,Java,1
Silken,Python,1
Silken,C,1
Silken,Python3,6
tanriol,C++,1
tanriol,Python,1
tanriol,Python3,12
tanriol,Rust,581
shogunpang,Java,86
shogunpang,JavaScript,1
fluffyunicorn1125,C++,87
fluffyunicorn1125,Java,1172
fluffyunicorn1125,Python,44
fluffyunicorn1125,MySQL,8
fluffyunicorn1125,Python3,2
underflow_,Python3,195
blackpanther__7,C++,17
blackpanther__7,Java,3
blackpanther__7,Go,40
boAshraf,C++,852
boAshraf,Java,2
boAshraf,JavaScript,6
boAshraf,Python3,1
kFxD1j2qaE,C++,39
astroash,C++,1524
astroash,Java,97
astroash,Python,1
astroash,MySQL,18
astroash,C,9
astroash,JavaScript,26
astroash,Python3,75
astroash,Kotlin,4
astroash,TypeScript,1
Wizard_of_Orz,C++,547
Wizard_of_Orz,Java,27
Wizard_of_Orz,Python,2
Wizard_of_Orz,MySQL,21
Wizard_of_Orz,Python3,647
hxu10,C++,310
hxu10,Java,272
hxu10,Python,2940
hxu10,MySQL,238
hxu10,JavaScript,26
hxu10,Swift,1
hxu10,Go,1
hxu10,Python3,95
hxu10,MS SQL Server,3
hxu10,Pandas,16
truongcongthanh2000,C++,815
truongcongthanh2000,Java,25
truongcongthanh2000,MySQL,37
truongcongthanh2000,JavaScript,1
truongcongthanh2000,Python3,44
testdes,C++,2
lkh1018,C++,1277
lkh1018,Python,1
lkh1018,MySQL,10
lkh1018,Python3,44
lkh1018,TypeScript,10
bhawnapannu2706,Java,266
bhawnapannu2706,MySQL,1
davidcarr3ra,C++,9
davidcarr3ra,Java,51
davidcarr3ra,Python,22
davidcarr3ra,Python3,1
EmZie,C++,218
EmZie,C#,1
EmZie,Python3,20
EmZie,Rust,2
lime2048,Java,1
timothygao8710,C++,82
timothygao8710,Java,141
timothygao8710,Python,5
gamigafy,C++,576
gamigafy,Java,18
gamigafy,MySQL,4
gamigafy,Go,1
gamigafy,Python3,115
gamigafy,Pandas,1
Xiaohao2019,C++,784
Xiaohao2019,Java,1
itzRaghav,C++,779
itzRaghav,Java,15
BZ4jpH2kfx,C++,37
BZ4jpH2kfx,Java,3
vermachakshu,C++,1030
vermachakshu,Java,1
vermachakshu,MySQL,50
vermachakshu,Python3,1
fsqhxrcjw,C++,2537
fsqhxrcjw,Java,17
fsqhxrcjw,MySQL,12
fsqhxrcjw,C,1
fsqhxrcjw,JavaScript,36
fsqhxrcjw,Python3,226
fsqhxrcjw,Rust,65
ronnith,C++,442
ronnith,Java,2
ronnith,Python,6
ronnith,Python3,1
ASanjar,Java,9
yaduvanshibikash1503,C++,248
yaduvanshibikash1503,Java,104
yaduvanshibikash1503,Go,1
yaduvanshibikash1503,Python3,9
iamc7054,C++,464
iamc7054,Python,3
iamc7054,C,1
iamc7054,Python3,22
xs_pg,C++,3
xs_pg,Java,1
xs_pg,Python,18
xs_pg,MySQL,1
xs_pg,JavaScript,1
xs_pg,Python3,1977
anishde85,C++,46
anishde85,Java,4
anishde85,Python,1
anishde85,JavaScript,16
anishde85,Python3,562
zunyiliu,C++,114
zunyiliu,Java,1967
zunyiliu,Python,1
zunyiliu,MySQL,65
zunyiliu,C#,6
zunyiliu,Bash,1
zunyiliu,Go,1
zunyiliu,Python3,46
zunyiliu,TypeScript,1
alexlinzhai,C++,105
alexlinzhai,Python,43
alexlinzhai,Python3,34
IsaacMoris,C++,260
IsaacMoris,Python,5
itishagarwal2000,C++,1161
itishagarwal2000,Java,5
itishagarwal2000,Python,1
itishagarwal2000,Python3,1
dnuj4097,Python,2
dnuj4097,MySQL,42
dnuj4097,Python3,2646
dnuj4097,MS SQL Server,15
brandon_wagner,Java,25
brandon_wagner,Python,2
brandon_wagner,MySQL,1
brandon_wagner,Ruby,8
brandon_wagner,Go,11
edcedc,Java,1738
kzyKT,C++,1471
cjoa,C++,269
cjoa,Java,3
cjoa,Python,10
cjoa,Python3,3
shivamtrix,C++,993
shivamtrix,Java,10
shivamtrix,Python,2
shivamtrix,MySQL,50
shivamtrix,C,11
shivamtrix,JavaScript,7
shivamtrix,Bash,1
shivamtrix,Swift,31
shivamtrix,Go,321
shivamtrix,Python3,102
shivamtrix,Kotlin,1
shivamtrix,Rust,4
shivamtrix,Pandas,15
shivamtrix,PostgreSQL,5
huanghuangkongkong,Python3,4
7ty7,C++,1
7ty7,Python3,112
the_halfblood_prince,C++,865
the_halfblood_prince,Java,1
the_halfblood_prince,MySQL,13
seeean,C++,224
seeean,Python,682
seeean,MySQL,11
seeean,Python3,613
megatonna,C,1
aztk,C++,583
aztk,Java,1
aztk,Python,1
aztk,MySQL,12
aztk,Bash,2
aztk,Python3,107
Harika_k,Python,13
Harika_k,Python3,23
kriti777,Python3,23
Manan04,C++,15
Manan04,Java,1
Manan04,MySQL,4
Manan04,Python3,730
saumytri,JavaScript,4
gsph,Python3,8
QAMichaelPeng,C++,323
QAMichaelPeng,Java,700
QAMichaelPeng,Python,40
QAMichaelPeng,MySQL,19
QAMichaelPeng,Bash,4
QAMichaelPeng,Python3,1291
teades,C++,1
echen5503,C++,118
echen5503,Java,17
echen5503,Python,3
echen5503,C#,2
echen5503,JavaScript,242
echen5503,Python3,241
echen5503,TypeScript,2
EXBORN,C++,1
EXBORN,Java,13
EXBORN,Python,5
EXBORN,MySQL,55
EXBORN,JavaScript,1
EXBORN,Python3,1552
EXBORN,Pandas,2
thinker99,C++,108
thinker99,MySQL,4
harryB17,C++,952
HMAXS,C++,207
HMAXS,MySQL,3
boringleetcode,C++,6
boringleetcode,Java,86
boringleetcode,Python3,1
swrush98,MySQL,51
swrush98,C,10
swrush98,JavaScript,12
swrush98,Python3,2332
swrush98,Pandas,15
remidinishanth,C++,1491
remidinishanth,Java,5
remidinishanth,Python,25
remidinishanth,MySQL,1
remidinishanth,Go,2
remidinishanth,Python3,94
remidinishanth,Pandas,1
g129512,C++,19
g129512,Java,92
g129512,MySQL,3
g129512,Go,1
g129512,Python3,858
g129512,Scala,1
g129512,Oracle,1
ChangkunLi,C++,2548
ChangkunLi,Java,827
ChangkunLi,MySQL,9
ChangkunLi,C,1
ChangkunLi,Python3,364
caobaohoang03,C++,1052
caobaohoang03,Python,2
caobaohoang03,MySQL,59
caobaohoang03,Python3,289
pongityping,JavaScript,2
martin0327,C++,1675
martin0327,Java,5
martin0327,MySQL,74
martin0327,JavaScript,5
martin0327,Python3,206
martin0327,Kotlin,17
martin0327,TypeScript,6
msp2249,Java,8
msp2249,Python,11
msp2249,Python3,19
wyh9346,C++,706
wyh9346,Java,1
wyh9346,Python,10
wyh9346,MySQL,7
wyh9346,C,2
wyh9346,JavaScript,1
wyh9346,Python3,5
frostdemonn,C++,1229
frostdemonn,Java,35
frostdemonn,MS SQL Server,1
Harshkriplani,C++,829
user8903C,C,2
cjyang1230,C++,2127
cjyang1230,Python,3
cjyang1230,MySQL,9
cjyang1230,C,17
cjyang1230,JavaScript,10
cjyang1230,Python3,158
cjyang1230,Pandas,30
nutty_professor,C++,38
nutty_professor,Java,1
nutty_professor,MySQL,7
nutty_professor,Python3,351
nutty_professor,Rust,1
a124001,Java,14
invertedwinger,C++,348
heenaparveen139,Java,5
heenaparveen139,Bash,1
cheatcode,C++,869
cheatcode,Python,1
cheatcode,Python3,1
tojuna,C++,120
tojuna,Java,379
tojuna,Python,3
tojuna,MySQL,17
tojuna,C,2
tojuna,C#,2
tojuna,JavaScript,12
tojuna,Ruby,10
tojuna,Swift,2
tojuna,Go,2
tojuna,Python3,1331
tojuna,Scala,3
tojuna,Kotlin,2
tojuna,MS SQL Server,1
tojuna,Oracle,1
tojuna,Rust,1
tojuna,PHP,1
tojuna,TypeScript,2
tojuna,Erlang,1
tojuna,Elixir,1
tojuna,Dart,1
Bakerston,C++,475
Bakerston,Java,592
Bakerston,Python,104
Bakerston,MySQL,174
Bakerston,C,1
Bakerston,C#,1
Bakerston,JavaScript,59
Bakerston,Bash,4
Bakerston,Go,23
Bakerston,Python3,2670
Bakerston,Scala,12
Bakerston,Kotlin,1
Bakerston,TypeScript,6
Bakerston,Pandas,85
Bakerston,PostgreSQL,1
qb_2008,C++,969
qb_2008,Java,46
qb_2008,Python,2
qb_2008,MySQL,13
qb_2008,JavaScript,7
qb_2008,Bash,2
qb_2008,Python3,1
qb_2008,Kotlin,48
qb_2008,Rust,74
aliparlakci,C++,78
aliparlakci,Java,2
aliparlakci,Python3,36
alecjo,Java,3
alecjo,Python,2
alecjo,MySQL,1
alecjo,Python3,178
severalprojects,Python3,19
asb76,C++,211
asb76,MySQL,3
asb76,Python3,1
KangTheDoom,Java,45
YoungForest,C++,1242
YoungForest,Java,49
YoungForest,Python,7
YoungForest,MySQL,23
YoungForest,C#,37
YoungForest,JavaScript,4
YoungForest,Bash,1
YoungForest,Python3,453
YoungForest,Rust,15
yiqunoy,C++,4
yiqunoy,Java,1177
yiqunoy,Python,1
seelengxd,C++,2
seelengxd,Java,2
seelengxd,MySQL,4
seelengxd,Ruby,2
seelengxd,Go,3
seelengxd,Python3,213
omuraisu,C++,300
omuraisu,MySQL,8
omuraisu,Go,11
omuraisu,Python3,328
omuraisu,MS SQL Server,1
omuraisu,Oracle,1
Nandy_Magic,C++,105
siganai,C++,40
siganai,Python3,5
yh157612,C++,195
yh157612,Python3,628
yh157612,Kotlin,1
yh157612,Rust,899
mdakram28,C++,219
mdakram28,Java,2
mdakram28,MySQL,25
mdakram28,JavaScript,23
mdakram28,Bash,3
mdakram28,Python3,1285
mdakram28,TypeScript,4
mdakram28,Pandas,1
zsq007,C++,46
zsq007,Java,31
zsq007,Python,13
zsq007,MySQL,280
zsq007,Ruby,1
zsq007,Bash,1
zsq007,Go,3
zsq007,Python3,3294
leet_go,C++,122
leet_go,Java,4
leet_go,Python3,559
riyushhh,C++,1408
riyushhh,Java,16
riyushhh,Python,2
riyushhh,MySQL,26
riyushhh,JavaScript,6
riyushhh,Python3,10
luisalima,Python,17
LGM70,Java,371
LGM70,MySQL,51
LGM70,Python3,249
LGM70,TypeScript,1
rarakasm,C++,1860
rarakasm,MySQL,1
rarakasm,C#,7
rarakasm,JavaScript,53
rarakasm,Go,9
rarakasm,Python3,1
rarakasm,Kotlin,25
rarakasm,TypeScript,2
LeviZhang1993,C++,3
LeviZhang1993,Java,44
LeviZhang1993,Python,37
LeviZhang1993,MySQL,47
LeviZhang1993,C#,1
LeviZhang1993,Bash,4
LeviZhang1993,Go,26
LeviZhang1993,Python3,1993
mofadlalla,JavaScript,5
izaj_iitkgp,C++,905
izaj_iitkgp,Java,10
izaj_iitkgp,Python,1
izaj_iitkgp,Python3,1
sethles,Java,3156
sethles,Python,1
sethles,MySQL,193
sethles,JavaScript,4
sethles,Python3,6
sethles,Pandas,18
JAIVAL8,C++,15
JAIVAL8,Python3,2
wa_magnet,C++,633
wa_magnet,MySQL,7
wa_magnet,Python3,8
wa_magnet,Pandas,2
gvamsikris,Java,3
leest1,Java,5
leest1,MySQL,2
leest1,Python3,7
sumanps,Java,2
vinaypaibh,Python,146
vinaypaibh,Python3,4
chh9976,C++,87
chh9976,Python3,39
shubhambhadada7,C++,624
shubhambhadada7,Java,22
shubhambhadada7,Python,1
shubhambhadada7,Python3,2
VS_Codes,C++,830
VS_Codes,Java,1
VS_Codes,JavaScript,25
sureshs4188,Java,4
steiner,C++,2173
steiner,Java,176
steiner,Python,5
steiner,MySQL,20
steiner,Python3,8
Striker05,C++,163
Striker05,Java,85
Striker05,Python,4
Striker05,JavaScript,1
Striker05,Python3,5
Striker05,Pandas,2
code_struck,C++,2083
code_struck,Python3,1
qqwrv,C++,773
qqwrv,Python3,7
lagi_padi_hai,C++,174
lagi_padi_hai,Java,1
lagi_padi_hai,Python,3
lagi_padi_hai,MySQL,6
lagi_padi_hai,C,30
lagi_padi_hai,Python3,309
lagi_padi_hai,MS SQL Server,5
yurisantamarina,C++,579
yurisantamarina,JavaScript,2
yurisantamarina,Go,1
yurisantamarina,Python3,12
imcom,C++,151
imcom,Java,88
imcom,MySQL,1
imcom,C,1
imcom,JavaScript,2
imcom,Bash,2
imcom,Go,1
imcom,Python3,165
imcom,Rust,199
rio_90,C++,16
rio_90,Java,74
rio_90,Python3,2
iilj,C++,659
iilj,Python3,8
griffinmclennan,C++,49
griffinmclennan,Java,1376
griffinmclennan,Python,3
griffinmclennan,MySQL,2
griffinmclennan,JavaScript,13
griffinmclennan,Python3,754
griffinmclennan,Kotlin,6
griffinmclennan,Rust,36
griffinmclennan,TypeScript,1
bragcat,C++,482
bragcat,Java,2
bragcat,MySQL,14
bragcat,Python3,129
