country,avg_solved,avg_ac
Bhutan,2422.0,2333.0
Puerto Rico,2378.0,2378.0
French Polynesia,1774.0,1725.0
Madagascar,1667.0,1636.0
Western Sahara,1631.5,1604.0
Aland Islands,1275.0,1228.0
Sweden,1221.8181818181818,1197.7272727272727
Fiji,1201.0,1199.0
Turks and Caicos Islands,1197.0,1169.0
Uruguay,1163.0,1140.0
Vatican,1067.0,1049.0
Estonia,992.0,974.5
Denmark,977.6666666666666,958.6666666666666
Armenia,977.6666666666666,957.1666666666666
Croatia,973.1666666666666,959.5
Austria,961.0,927.0
Taiwan,941.266,924.986
Greenland,925.0,893.0
Palestinian Territory,924.2857142857143,908.4285714285714
Tajikistan,920.0,837.0
Switzerland,919.3125,908.4375
Chile,889.0,877.6
Palau,887.0,885.0
New Zealand,872.125,848.625
Ireland,835.1428571428571,815.0
Netherlands,826.0,810.8260869565217
Romania,822.5,806.9285714285714
Ukraine,817.2533333333333,799.6133333333333
Hong Kong,807.9508196721312,789.7704918032787
Philippines,805.5,792.625
Poland,799.0444444444445,783.0444444444445
Mozambique,788.5,735.0
百慕大,787.0,736.0
Macao,742.0,717.0
Singapore,730.3206106870228,715.1679389312977
Belgium,728.6666666666666,697.1666666666666
United States,721.2414910858995,704.0457860615884
Afghanistan,701.2857142857143,673.2857142857143
Thailand,691.8666666666667,658.0666666666667
Belarus,688.75,680.125
Nigeria,688.3333333333334,674.6666666666666
Australia,683.3620689655172,663.8793103448276
Mongolia,675.2,654.3
China,673.4486754966888,661.9718543046357
Georgia,671.1333333333333,652.5333333333333
Montenegro,668.0,660.0
South Korea,663.9493670886076,647.4430379746835
Zimbabwe,662.0,637.0
United Kingdom,660.0860215053764,642.0537634408602
Ethiopia,659.8235294117648,636.3529411764706
Bulgaria,652.4285714285714,625.1428571428571
Yemen,637.0,619.0
France,634.4827586206897,616.1724137931035
Germany,632.6415094339623,621.3396226415094
Saudi Arabia,631.6666666666666,611.6666666666666
Canada,626.078488372093,608.9156976744187
Japan,625.1761006289308,611.8301886792453
American Samoa,622.0,612.5
Russia,614.1111111111111,604.1574074074074
Peru,588.6666666666666,569.1111111111111
Vietnam,586.8269230769231,572.6971153846154
Christmas Island,560.75,554.0
Serbia,560.7272727272727,548.9090909090909
Wallis and Futuna,556.0,541.0
Morocco,554.9090909090909,531.0909090909091
Uzbekistan,545.3947368421053,526.9736842105264
India,541.4997425599835,521.9096900422202
Italy,529.1538461538462,521.0
Lithuania,528.0,522.5
Greece,522.4,506.2
Brazil,507.51020408163265,496.0408163265306
Kyrgyzstan,504.0,482.25
Aruba,503.0,478.5
North Korea,497.5,480.0
Malaysia,488.38461538461536,471.3076923076923
South Africa,485.0,479.5
Egypt,474.02884615384613,461.66346153846155
Turkey,472.93333333333334,460.8666666666667
Azerbaijan,469.42857142857144,461.85714285714283
Hungary,453.6,442.6
Indonesia,449.0,436.8541666666667
Moldova,448.0,434.5
Kazakhstan,442.36986301369865,428.986301369863
Spain,442.0,416.1666666666667
Dominican Republic,441.5,433.5
United Arab Emirates,433.25,423.625
Argentina,418.0,411.4
Algeria,408.0,395.3333333333333
Tunisia,405.5,394.5
Cyprus,405.3333333333333,397.0
Czechia,402.1666666666667,398.0
Dominica,392.0,381.0
Slovakia,386.6666666666667,370.3333333333333
Saint Vincent and the Grenadines,386.0,375.0
Nepal,384.0,374.0
Laos,375.0,343.0
Israel,374.8333333333333,367.5
Macedonia,366.0,347.0
Mexico,349.36842105263156,340.05263157894734
Bangladesh,343.4111675126904,332.75126903553297
Not specified,338.9908886454068,326.73040770428463
Monaco,321.0,321.0
Syria,305.25,299.25
Norway,287.1666666666667,279.3333333333333
Pakistan,276.5945945945946,263.86486486486484
Portugal,275.0,270.6666666666667
智利,273.0,267.0
Cayman Islands,272.0,268.0
Slovenia,253.66666666666666,249.0
Cuba,232.5,226.0
Ghana,231.0,222.0
Luxembourg,198.0,185.0
Sri Lanka,192.125,182.625
阿根廷,165.5,158.0
Bolivia,158.66666666666666,147.66666666666666
Iran,157.14285714285714,150.14285714285714
开曼群岛,153.0,144.0
Colombia,146.25,137.125
Venezuela,145.0,144.0
蒙古,142.0,131.0
Togo,141.0,138.0
Kenya,141.0,133.5
Finland,134.5,134.0
Iraq,127.0,121.0
Latvia,126.66666666666667,123.0
Lebanon,108.66666666666667,103.33333333333333
新西兰,106.0,84.0
冰岛,105.0,102.0
Trinidad and Tobago,102.0,98.0
Northern Mariana Islands,90.0,87.0
Costa Rica,86.0,82.5
阿拉伯联合酋长国,83.0,81.0
Uganda,73.0,68.0
新加坡,69.5,66.33333333333333
德国,69.0,47.0
维尔京群岛，美属,66.0,62.0
波斯尼亚和黑塞哥维那,65.5,65.0
中国,63.51679841897233,60.510622529644266
Zambia,58.0,58.0
圣诞岛,53.666666666666664,44.666666666666664
,53.11758860549851,50.41818482941371
Solomon Islands,48.0,44.0
南极洲,45.666666666666664,45.333333333333336
Democratic Republic of the Congo,42.0,40.0
澳大利亚,37.5,37.0
阿塞拜疆,36.5,34.0
俄罗斯,36.0,35.0
Bahrain,33.0,32.0
海外,31.4,29.7
阿鲁巴,30.75,28.0
法国,29.75,29.0
比利时,28.0,26.0
Cameroon,27.0,23.0
日本,26.0625,25.3125
安道尔,22.0,12.0
摩纳哥,21.0,14.0
美国,18.428571428571427,17.0
加拿大,16.75,15.75
Isle of Man,13.0,12.0
Panama,11.0,9.0
佛得角,10.0,9.0
阿尔及利亚,5.0,5.0
阿尔巴尼亚,4.25,4.125
英国,2.0,1.5
西班牙,1.0,0.0
瑞士,0.0,0.0
梵蒂冈,0.0,0.0
阿曼,0.0,0.0
巴布亚新几内亚,0.0,0.0
东帝汶,0.0,0.0
泰国,0.0,0.0
U.S. Virgin Islands,0.0,0.0
