username,languageName,problemsSolved
mateoespinosa,C++,1
mateoespinosa,Python,21
mateoespinosa,Python3,14
domba96,JavaScript,56
a416461,C++,48
a416461,Java,167
libobo233,Java,8
ayantika15,C++,2
ayantika15,Java,4
ayantika15,Python,467
johnbenjaminrush,Python3,9
Haw00,C++,351
Haw00,MySQL,23
Haw00,Bash,2
sandeep_gurjar,C++,133
sandeep_gurjar,MySQL,18
sandeep_gurjar,C,1
mukesh_sharma,C++,855
mukesh_sharma,Java,6
mukesh_sharma,MySQL,27
mukesh_sharma,C,14
mukesh_sharma,JavaScript,22
mukesh_sharma,Python3,5
qweasdqqq,C++,221
qweasdqqq,Bash,1
jogiking,Swift,38
jogiking,Python3,54
ayush9897,C++,572
ayush9897,Java,1
ayush9897,Python,2
ayush9897,MySQL,35
ayush9897,C,5
ayush9897,JavaScript,1
ayush9897,Go,1
ayush9897,Kotlin,1
ayush9897,Oracle,2
shash_027,C++,4
shash_027,Java,102
shash_027,Python3,1
Tadizov20,C++,236
Tadizov20,Java,1041
Tadizov20,MySQL,23
Tadizov20,C#,5
Tadizov20,JavaScript,2
Tadizov20,Bash,1
Tadizov20,Python3,293
Tadizov20,Pandas,21
Tadizov20,PostgreSQL,2
raycosine,C++,12
raycosine,Python3,3
vitecho,C++,2
vitecho,Java,1
vitecho,JavaScript,188
vitecho,Go,3
viswanadharajut,C++,357
viswanadharajut,Java,1
viswanadharajut,C,105
yinliu1616,C++,42
yinliu1616,Java,161
yinliu1616,Ruby,3
yinliu1616,Python3,2
jasvithanne,Python3,345
moussali,Java,9
Lyate,JavaScript,1
Lyate,PHP,1
Lyate,TypeScript,32
LajoQL22Gu,C++,67
LajoQL22Gu,Java,1
changli0722,C++,109
changli0722,Python,2
changli0722,C,1
changli0722,Python3,71
bnuwangxun,Python,4
bnuwangxun,Python3,1
aakashy013,Python,1
aakashy013,MySQL,20
aakashy013,Python3,26
aakashy013,Pandas,1
sastastudent,C++,116
sastastudent,Java,1
sastastudent,MySQL,21
raj6263,C++,17
himanshud05,C++,375
himanshud05,Java,80
reddydeepika,C++,89
reddydeepika,Java,191
reddydeepika,C#,1
reddydeepika,Python3,55
Alapati_Gurumurari,C++,110
SMpdYl1bxW,C++,2
SMpdYl1bxW,Java,359
SMpdYl1bxW,MySQL,13
SMpdYl1bxW,C,1
SMpdYl1bxW,JavaScript,4
avi362,C++,92
avi362,C,5
avi362,Bash,1
sbverma007,C++,81
sbverma007,Java,266
sbverma007,MySQL,2
ashutoshkumarshaw350,C++,126
ashutoshkumarshaw350,C,3
diksh_wg25,C++,4
diksh_wg25,Python,6
diksh_wg25,C,13
diksh_wg25,Python3,135
hemashree_272005,Java,10
hemashree_272005,JavaScript,1
Ayesha230102,C++,236
Ayesha230102,Python3,6
abec_123,C++,123
abec_123,Python,8
abec_123,MySQL,50
abec_123,Python3,65
ram_eab,C++,6
ram_eab,Python3,119
_himesh_soni5,C++,15
_himesh_soni5,Python3,13
FadyIbrahim,Python3,24
FadyIbrahim,Pandas,15
shubhankar719,C++,262
rd_leet,C++,239
vedant_2701,Java,197
vedant_2701,MySQL,13
vedant_2701,Python3,28
qdao,Bash,4
qdao,Python3,8
qdao,Oracle,1
qdao,Rust,3
pow_8,Java,2
pow_8,MySQL,1
pow_8,Python3,115
thakurrachitsingh2050,Java,181
vivian97730,C++,40
vivian97730,Java,121
vivian97730,Python,1
vivian97730,MySQL,1
vivian97730,Python3,3
Milu_97,Java,3
Milu_97,Python,305
Milu_97,JavaScript,29
Milu_97,Python3,391
Milu_97,TypeScript,1
pranil_19,C++,407
pranil_19,MySQL,5
pranil_19,MS SQL Server,1
nishitaGudlavalleti,C++,12
nishitaGudlavalleti,Python,1
nishitaGudlavalleti,Python3,27
spacexxxx,C++,2
spacexxxx,Java,2
spacexxxx,Python,84
spacexxxx,MySQL,2
spacexxxx,Python3,364
Lucky_Money,C++,1
Lucky_Money,Java,373
Lucky_Money,Python,7
Lucky_Money,Python3,35
wallbreaker877,C++,471
wallbreaker877,Java,1
wallbreaker877,MySQL,31
wallbreaker877,JavaScript,1
Devesh-5303,C++,358
Devesh-5303,Python,1
Devesh-5303,MySQL,10
Devesh-5303,Python3,1
Manan_Agarwal,C++,27
Manan_Agarwal,Python,1
Manan_Agarwal,JavaScript,35
