country,languagename,user_count
Afghanistan,C++,7
Afghanistan,Java,6
Afghanistan,Python3,4
Afghanistan,Python,4
Afghanistan,Bash,2
Afghanistan,C,2
Afghanistan,Go,2
Afghanistan,Kotlin,1
Afghanistan,MySQL,1
Afghanistan,Pandas,1
Afghanistan,PHP,1
Afghanistan,JavaScript,1
Afghanistan,C#,1
Aland Islands,MySQL,2
Aland Islands,C++,2
Aland Islands,Python,2
Aland Islands,Python3,2
Aland Islands,Rust,1
Aland Islands,Java,1
Aland Islands,Bash,1
Algeria,MySQL,2
Algeria,Java,2
Algeria,Python,1
Algeria,Dart,1
Algeria,JavaScript,1
Algeria,Python3,1
Algeria,Rust,1
American Samoa,C++,2
American Samoa,C,1
American Samoa,C#,1
American Samoa,Java,1
American Samoa,JavaScript,1
Argentina,Python3,5
Argentina,MySQL,4
Argentina,C++,3
Argentina,PostgreSQL,2
Argentina,Pandas,2
Argentina,Ruby,1
Argentina,Rust,1
Argentina,Python,1
Argentina,C#,1
Argentina,Java,1
Argentina,JavaScript,1
Argentina,MS SQL Server,1
Armenia,Python3,5
Armenia,MySQL,4
Armenia,PostgreSQL,3
Armenia,C++,3
Armenia,JavaScript,2
Armenia,Java,2
Armenia,Pandas,2
Armenia,MS SQL Server,1
Armenia,Go,1
Armenia,C#,1
Armenia,Python,1
Armenia,Bash,1
Armenia,TypeScript,1
Armenia,Kotlin,1
Aruba,Python3,2
Aruba,Java,1
Aruba,JavaScript,1
Aruba,Kotlin,1
Aruba,MySQL,1
Aruba,Pandas,1
Aruba,C++,1
Aruba,Python,1
Australia,Python3,46
Australia,C++,45
Australia,Java,34
Australia,MySQL,32
Australia,Python,28
Australia,JavaScript,19
Australia,Go,12
Australia,TypeScript,11
Australia,C#,11
Australia,Bash,10
Australia,C,10
Australia,Pandas,9
Australia,PostgreSQL,6
Australia,Rust,6
Australia,Kotlin,4
Australia,Oracle,3
Australia,Swift,3
Australia,MS SQL Server,2
Australia,Dart,1
Australia,Ruby,1
Austria,C++,1
Austria,MySQL,1
Austria,Python,1
